Time,Tweet,Sentiment
2025-06-22 10:00:00,Just bought the new Nike shoes â€” absolutely love them!,Positive
2025-06-22 10:15:00,Adidas quality is unmatched lately.,Positive
2025-06-22 10:30:00,Nike customer service is the worst experience ever.,Negative
2025-06-22 10:45:00,Adidas design this year is so boring.,Negative
2025-06-22 11:00:00,Not sure which to buy: Nike or Adidas? Both are fine.,Neutral
2025-06-22 11:15:00,Nike Air Zoom feels great on my feet.,Positive
2025-06-22 11:30:00,Adidas just dropped something new. Not bad.,Neutral
2025-06-22 11:45:00,Nike shoes are too overpriced for what they offer.,Negative
2025-06-22 12:00:00,Adidas comfort > Nike style. Personal opinion.,Neutral
2025-06-22 12:15:00,Finally got my Nike order delivered â€” happy!,Positive
2025-06-22 12:30:00,Received defective Adidas product. Totally disappointed.,Negative
2025-06-22 12:45:00,Adidas sneakers are ðŸ”¥ðŸ”¥ðŸ”¥,Positive
2025-06-22 13:00:00,Nikeâ€™s latest collection is average tbh.,Neutral
2025-06-22 13:15:00,Why does Nike app crash all the time? So frustrating.,Negative
2025-06-22 13:30:00,Iâ€™m loyal to Adidas. Great comfort and durability.,Positive
2025-06-22 13:45:00,Nothing exciting from Nike this year.,Negative
2025-06-22 14:00:00,"Adidas is okay, not too exciting.",Neutral
2025-06-22 14:15:00,Impressed by Nikeâ€™s sustainability initiatives!,Positive
2025-06-22 14:30:00,"Adidas packaging was messy, not a great first impression.",Negative
2025-06-22 14:45:00,Both Nike and Adidas have their pros and cons. Neutral here.,Neutral
